year,country,Concept,Semantic_Cohesion,vote_score,vote_total
1987,FRA,human_right,0.41650185,0.5863309352517986,143
1988,USA,human_right,0.52716416,0.22761194029850745,139
1988,CHN,sovereignty,0.22728172,0.9618320610687023,139
1988,CHN,human_right,0.27084225,0.9618320610687023,139
1988,RUS,sovereignty,0.29547137,0.9851851851851852,139
1988,RUS,human_right,0.3229165,0.9851851851851852,139
1988,GBR,human_right,0.18291411,0.5182481751824818,139
1988,FRA,sovereignty,0.2505119,0.5714285714285714,139
1988,FRA,human_right,0.6559143,0.5714285714285714,139
1989,USA,human_right,0.31569618,0.21739130434782608,117
1989,CHN,sovereignty,0.30979794,0.9646017699115044,117
1989,RUS,human_right,0.4832993,0.9869565217391304,117
1989,GBR,sovereignty,-0.095812306,0.5391304347826087,117
1989,GBR,human_right,0.16418475,0.5391304347826087,117
1989,FRA,sovereignty,0.44613218,0.5796460176991151,117
1989,FRA,human_right,0.24107838,0.5796460176991151,117
1990,USA,human_right,0.29490808,0.25,86
1990,CHN,sovereignty,0.17612204,0.9642857142857143,86
1990,RUS,human_right,0.4523827,0.9761904761904762,86
1990,GBR,human_right,0.3026179,0.5178571428571429,86
1990,FRA,sovereignty,0.35871834,0.536144578313253,86
1990,FRA,human_right,0.34575075,0.536144578313253,86
1991,USA,sovereignty,0.17294274,0.24647887323943662,74
1991,USA,human_right,0.42077553,0.24647887323943662,74
1991,CHN,sovereignty,0.41197056,0.9637681159420289,74
1991,CHN,human_right,0.58051854,0.9637681159420289,74
1991,RUS,sovereignty,0.4910083,0.7887323943661971,74
1991,RUS,human_right,0.34749764,0.7887323943661971,74
1991,GBR,human_right,0.19011016,0.5555555555555556,74
1991,FRA,sovereignty,0.53019595,0.6056338028169014,74
1991,FRA,human_right,0.2201198,0.6056338028169014,74
1992,USA,human_right,0.36064363,0.3108108108108108,75
1992,CHN,sovereignty,0.43219897,0.9154929577464789,75
1992,CHN,human_right,0.24511954,0.9154929577464789,75
1992,RUS,human_right,0.43674535,0.722972972972973,75
1992,GBR,human_right,0.4054774,0.6216216216216216,75
1992,FRA,human_right,0.2929874,0.678082191780822,75
1993,USA,human_right,0.33985546,0.3359375,65
1993,CHN,sovereignty,0.51176757,0.9032258064516129,65
1993,RUS,human_right,0.35302198,0.6875,65
1993,FRA,sovereignty,0.35208997,0.6612903225806451,65
1993,FRA,human_right,0.5514683,0.6612903225806451,65
1994,USA,human_right,0.17301506,0.40441176470588236,68
1994,CHN,human_right,0.32210088,0.9015151515151515,68
1994,RUS,human_right,0.44128722,0.7132352941176471,68
1994,GBR,sovereignty,0.020995893,0.6417910447761194,68
1994,FRA,human_right,0.37056714,0.6893939393939394,68
1995,USA,human_right,0.34356382,0.34375,80
1995,CHN,sovereignty,0.6157849,0.8896103896103896,80
1995,RUS,human_right,0.47271267,0.7375,80
1995,GBR,human_right,0.30774325,0.54375,80
1995,FRA,sovereignty,0.444068,0.6794871794871795,80
1995,FRA,human_right,0.3686028,0.6794871794871795,80
1996,CHN,sovereignty,0.21765509,0.8947368421052632,76
1996,RUS,sovereignty,0.34833902,0.8,76
1996,RUS,human_right,0.3549332,0.8,76
1996,GBR,sovereignty,0.104150444,0.7105263157894737,76
1996,FRA,sovereignty,0.4726214,0.7466666666666667,76
1996,FRA,human_right,0.17427626,0.7466666666666667,76
1997,USA,human_right,0.3856599,0.3698630136986301,73
1997,CHN,sovereignty,0.12247054,0.8835616438356164,73
1997,CHN,human_right,0.6194509,0.8835616438356164,73
1997,GBR,human_right,0.37750053,0.6917808219178082,73
1997,FRA,human_right,0.4130903,0.7123287671232876,73
1998,USA,human_right,0.3325382,0.3253968253968254,63
1998,CHN,sovereignty,0.3463312,0.8870967741935484,63
1998,CHN,human_right,0.43304926,0.8870967741935484,63
1998,RUS,human_right,0.340815,0.7983870967741935,63
1998,GBR,human_right,0.28447643,0.6984126984126984,63
1998,FRA,human_right,0.5737721,0.7222222222222222,63
1999,CHN,sovereignty,0.66246,0.8642857142857143,70
1999,CHN,human_right,0.5737958,0.8642857142857143,70
1999,RUS,human_right,0.2773801,0.8,70
1999,GBR,human_right,0.40954745,0.6857142857142857,70
1999,FRA,sovereignty,0.4506384,0.7071428571428572,70
1999,FRA,human_right,0.36312217,0.7071428571428572,70
2000,USA,human_right,0.3877333,0.3382352941176471,68
2000,CHN,sovereignty,0.3552273,0.9044117647058824,68
2000,CHN,human_right,0.47230947,0.9044117647058824,68
2000,RUS,human_right,0.3971552,0.8432835820895522,68
2000,GBR,human_right,0.5317196,0.6911764705882353,68
2000,FRA,sovereignty,0.07993331,0.7205882352941176,68
2000,FRA,human_right,0.39432138,0.7205882352941176,68
2001,USA,human_right,0.6073172,0.25735294117647056,68
2001,CHN,sovereignty,0.47388256,0.9117647058823529,68
2001,GBR,human_right,0.19699593,0.6544117647058824,68
2001,FRA,sovereignty,0.22253689,0.6911764705882353,68
2001,FRA,human_right,0.21677753,0.6911764705882353,68
2002,USA,human_right,0.2928977,0.2236842105263158,76
2002,RUS,human_right,0.19040704,0.8445945945945946,76
2002,FRA,human_right,0.40623742,0.6891891891891891,76
2003,USA,human_right,0.272486,0.22077922077922077,77
2003,CHN,sovereignty,0.17878827,0.9276315789473685,77
2003,RUS,human_right,0.2084201,0.8571428571428571,77
2003,GBR,sovereignty,0.15419368,0.6298701298701299,77
2003,FRA,sovereignty,0.38742697,0.6818181818181818,77
2003,FRA,human_right,0.281861,0.6818181818181818,77
2004,USA,sovereignty,0.20420013,0.19863013698630136,73
2004,USA,human_right,0.4010908,0.19863013698630136,73
2004,RUS,sovereignty,0.37439144,0.8698630136986302,73
2004,RUS,human_right,0.48877487,0.8698630136986302,73
2004,GBR,sovereignty,0.26102623,0.6506849315068494,73
2004,GBR,human_right,0.07366486,0.6506849315068494,73
2004,FRA,sovereignty,0.1743785,0.6736111111111112,73
2004,FRA,human_right,0.43043804,0.6736111111111112,73
2005,USA,human_right,0.46172518,0.21621621621621623,75
2005,RUS,human_right,0.2050659,0.815068493150685,75
2005,FRA,sovereignty,0.32586008,0.68,75
2005,FRA,human_right,0.36560905,0.68,75
2006,USA,sovereignty,0.25531083,0.21287128712871287,101
2006,USA,human_right,0.26731735,0.21287128712871287,101
2006,CHN,sovereignty,0.26709542,0.9343434343434344,101
2006,CHN,human_right,0.30034655,0.9343434343434344,101
2006,RUS,human_right,0.13877115,0.8811881188118812,101
2006,GBR,human_right,0.09777283,0.7178217821782178,101
2006,FRA,sovereignty,0.44411397,0.7227722772277227,101
2006,FRA,human_right,0.5808121,0.7227722772277227,101
2007,USA,human_right,0.46987227,0.15822784810126583,79
2007,CHN,human_right,0.09070419,0.9102564102564102,79
2007,FRA,human_right,0.25238854,0.6666666666666666,79
2008,USA,human_right,0.49641284,0.17307692307692307,78
2008,CHN,sovereignty,0.405235,0.9013157894736842,78
2008,RUS,human_right,0.38615477,0.8076923076923077,78
2008,GBR,human_right,0.16757908,0.6428571428571429,78
2008,FRA,sovereignty,0.5946143,0.6602564102564102,78
2009,USA,human_right,0.46878752,0.2647058823529412,68
2009,RUS,human_right,0.2992685,0.8088235294117647,68
2010,USA,human_right,0.45852888,0.2638888888888889,72
2010,CHN,sovereignty,0.5366336,0.9084507042253521,72
2010,CHN,human_right,0.2839207,0.9084507042253521,72
2010,GBR,human_right,0.546413,0.5972222222222222,72
2010,FRA,sovereignty,0.22498566,0.6527777777777778,72
2010,FRA,human_right,0.37971187,0.6527777777777778,72
2011,USA,sovereignty,0.053146653,0.3235294117647059,69
2011,USA,human_right,0.5195732,0.3235294117647059,69
2011,CHN,sovereignty,0.5221837,0.9057971014492754,69
2011,GBR,human_right,0.23231289,0.6594202898550725,69
2011,FRA,human_right,0.020338556,0.6956521739130435,69
2012,USA,human_right,0.30589646,0.2905405405405405,74
2012,CHN,sovereignty,0.5180919,0.8541666666666666,74
2012,RUS,human_right,0.5392907,0.7702702702702703,74
2013,USA,sovereignty,0.40387338,0.2734375,64
2013,USA,human_right,0.26810196,0.2734375,64
2013,CHN,sovereignty,0.5347083,0.8984375,64
2013,RUS,human_right,0.24857216,0.75,64
2013,GBR,human_right,0.23666215,0.59375,64
2014,USA,human_right,0.26090875,0.31645569620253167,80
2014,CHN,sovereignty,0.5323153,0.8910256410256411,80
2014,RUS,human_right,0.38864848,0.75,80
2014,FRA,sovereignty,0.28332993,0.65,80
2015,USA,human_right,0.40850496,0.2948717948717949,78
2015,CHN,sovereignty,0.6132281,0.8506493506493507,78
2015,RUS,sovereignty,0.35223544,0.6858974358974359,78
2015,RUS,human_right,0.37976986,0.6858974358974359,78
2015,GBR,human_right,0.258882,0.5641025641025641,78
2016,USA,human_right,0.3169456,0.35185185185185186,81
2016,CHN,human_right,0.24812496,0.81875,81
2016,RUS,human_right,0.35217392,0.6728395061728395,81
2016,GBR,human_right,0.250463,0.6111111111111112,81
2017,USA,sovereignty,0.3185931,0.24468085106382978,94
2017,USA,human_right,0.04633277,0.24468085106382978,94
2017,CHN,sovereignty,0.6103046,0.8723404255319149,94
2017,RUS,sovereignty,0.46552926,0.75,94
2017,GBR,human_right,0.322314,0.6236559139784946,94
2017,FRA,sovereignty,0.21188264,0.6505376344086021,94
2017,FRA,human_right,0.2244235,0.6505376344086021,94
2018,USA,sovereignty,0.29005754,0.24299065420560748,107
2018,USA,human_right,0.11309824,0.24299065420560748,107
2018,CHN,sovereignty,0.45865017,0.8428571428571429,107
2018,RUS,sovereignty,0.3123116,0.7336448598130841,107
2018,GBR,human_right,0.3602056,0.6635514018691588,107
2018,FRA,sovereignty,0.34319425,0.6869158878504673,107
2018,FRA,human_right,0.55128014,0.6869158878504673,107
2019,USA,sovereignty,0.27508578,0.24,100
2019,USA,human_right,0.306634,0.24,100
2019,RUS,human_right,0.045106858,0.7291666666666666,100
2019,GBR,human_right,0.22178373,0.605,100
2019,FRA,sovereignty,0.2353795,0.645,100
2019,FRA,human_right,0.3346838,0.645,100
2020,USA,human_right,0.19462349,0.26,100
2020,FRA,sovereignty,0.34333056,0.665,100
2020,FRA,human_right,0.32197917,0.665,100
2021,USA,human_right,0.40628994,0.3352941176470588,86
2021,CHN,human_right,0.28364328,0.8197674418604651,86
2021,FRA,sovereignty,0.18950719,0.6369047619047619,86
2021,FRA,human_right,0.6124803,0.6369047619047619,86
2022,USA,sovereignty,0.41259283,0.42134831460674155,89
2022,USA,human_right,0.36633736,0.42134831460674155,89
2022,CHN,sovereignty,0.30164498,0.7784090909090909,89
2022,CHN,human_right,0.67751235,0.7784090909090909,89
2022,RUS,sovereignty,0.2836424,0.6460674157303371,89
2022,RUS,human_right,0.1515958,0.6460674157303371,89
2022,GBR,sovereignty,0.26291123,0.6348314606741573,89
2022,GBR,human_right,0.31411135,0.6348314606741573,89
2022,FRA,sovereignty,0.44733584,0.6685393258426966,89
2023,USA,human_right,0.2769578,0.39204545454545453,88
2023,CHN,sovereignty,0.326509,0.7931034482758621,88
2023,CHN,human_right,0.30103642,0.7931034482758621,88
2023,RUS,sovereignty,0.2724278,0.5795454545454546,88
2023,FRA,sovereignty,0.51516396,0.625,88
2023,FRA,human_right,0.5289192,0.625,88
2024,CHN,human_right,0.4070537,0.8031914893617021,95
2024,RUS,human_right,0.13682944,0.6052631578947368,95
2024,GBR,human_right,0.13952602,0.5894736842105263,95
2024,FRA,sovereignty,0.21568143,0.6263157894736842,95
2025,USA,sovereignty,0.35493734,0.07291666666666667,192
2025,RUS,sovereignty,0.19278643,0.7890625,192
2025,RUS,human_right,0.37862185,0.7890625,192
2025,GBR,human_right,0.259977,0.7864583333333334,192
2025,FRA,sovereignty,0.34229088,0.796875,192
2025,FRA,human_right,0.2870919,0.796875,192
