Concept,ISO_Code,Similarity_ColdWar,Similarity_PostColdWar,Deviation_ColdWar,Deviation_PostColdWar,Deviation_Shift,Bloc
sovereignty,TTO,0.39882547,0.43133983,0.601174533367157,0.568660169839859,-0.032514363527297974,Global South (G77/Rest of World)
sovereignty,QAT,0.58151853,0.59349155,0.4184814691543579,0.4065084457397461,-0.011973023414611816,Global South (G77/Rest of World)
sovereignty,ZAF,0.35849854,0.49472383,0.6415014564990997,0.5052761733531952,-0.13622528314590454,Global South (G77/Rest of World)
sovereignty,USA,0.4522715,0.3847908,0.5477285087108612,0.6152091920375824,0.06748068332672119,P5 (Major Powers)
sovereignty,GTM,0.5457231,0.5193701,0.4542769193649292,0.48062992095947266,0.026353001594543457,Global South (G77/Rest of World)
sovereignty,SDN,0.56320643,0.5787182,0.43679356575012207,0.4212818145751953,-0.015511751174926758,Global South (G77/Rest of World)
sovereignty,MAR,0.4542872,0.53921485,0.545712798833847,0.4607851505279541,-0.08492764830589294,Global South (G77/Rest of World)
sovereignty,CAN,0.45610768,0.45632157,0.5438923239707947,0.5436784327030182,-0.00021389126777648926,Global North (Western/Allies)
sovereignty,ESP,0.4883615,0.48063612,0.5116384923458099,0.5193638801574707,0.007725387811660767,Global North (Western/Allies)
sovereignty,MRT,0.5749332,0.5940891,0.42506682872772217,0.4059109091758728,-0.019155919551849365,Global South (G77/Rest of World)
sovereignty,HTI,0.5865284,0.29067537,0.4134715795516968,0.7093246281147003,0.29585304856300354,Global South (G77/Rest of World)
sovereignty,MLT,0.41910127,0.47494492,0.5808987319469452,0.5250550806522369,-0.05584365129470825,Global South (G77/Rest of World)
sovereignty,IRQ,0.55798614,0.5886342,0.44201385974884033,0.411365807056427,-0.03064805269241333,Global South (G77/Rest of World)
sovereignty,JAM,0.40119585,0.31634608,0.5988041460514069,0.6836539208889008,0.0848497748374939,Global South (G77/Rest of World)
sovereignty,YEM,0.5543673,0.57981515,0.4456326961517334,0.420184850692749,-0.025447845458984375,Global South (G77/Rest of World)
sovereignty,SOM,0.49613947,0.34235683,0.5038605332374573,0.6576431691646576,0.15378263592720032,Global South (G77/Rest of World)
sovereignty,NGA,0.4072058,0.4663716,0.5927942097187042,0.5336284041404724,-0.05916580557823181,Global South (G77/Rest of World)
sovereignty,SEN,0.55186325,0.4373245,0.44813674688339233,0.5626755058765411,0.1145387589931488,Global South (G77/Rest of World)
sovereignty,IRN,0.5546564,0.50704014,0.44534361362457275,0.4929598569869995,0.04761624336242676,Global South (G77/Rest of World)
sovereignty,KWT,0.5230539,0.600019,0.4769461154937744,0.3999810218811035,-0.0769650936126709,Global South (G77/Rest of World)
sovereignty,LBR,0.38641334,0.48761076,0.6135866641998291,0.5123892426490784,-0.10119742155075073,Global South (G77/Rest of World)
sovereignty,CMR,0.493813,0.27260727,0.5061869919300079,0.7273927330970764,0.22120574116706848,Global South (G77/Rest of World)
sovereignty,NPL,0.49445778,0.3765748,0.5055422186851501,0.6234251856803894,0.11788296699523926,Global South (G77/Rest of World)
sovereignty,LAO,0.37743577,0.36011863,0.6225642263889313,0.6398813724517822,0.017317146062850952,Global South (G77/Rest of World)
sovereignty,UKR,0.46435952,0.541129,0.5356404781341553,0.4588710069656372,-0.07676947116851807,Global South (G77/Rest of World)
sovereignty,ROU,0.58171743,0.58502847,0.41828256845474243,0.4149715304374695,-0.0033110380172729492,Global South (G77/Rest of World)
sovereignty,BEN,0.5144719,0.43747237,0.4855281114578247,0.5625276267528534,0.07699951529502869,Global South (G77/Rest of World)
sovereignty,GAB,0.4915922,0.4545525,0.5084078013896942,0.5454474985599518,0.03703969717025757,Global South (G77/Rest of World)
sovereignty,PRY,0.43651226,0.45643508,0.5634877383708954,0.5435649156570435,-0.01992282271385193,Global South (G77/Rest of World)
sovereignty,THA,0.5550851,0.34970605,0.44491487741470337,0.6502939462661743,0.20537906885147095,Global South (G77/Rest of World)
sovereignty,MMR,0.5219841,0.43568075,0.4780158996582031,0.5643192529678345,0.08630335330963135,Global South (G77/Rest of World)
sovereignty,TGO,0.4919837,0.42381692,0.5080162882804871,0.5761830806732178,0.06816679239273071,Global South (G77/Rest of World)
sovereignty,AUS,0.26096886,0.3838995,0.7390311360359192,0.6161004900932312,-0.12293064594268799,Global North (Western/Allies)
sovereignty,NLD,0.46985298,0.4666758,0.5301470160484314,0.5333242118358612,0.0031771957874298096,Global North (Western/Allies)
sovereignty,LBN,0.56291413,0.599337,0.4370858669281006,0.40066301822662354,-0.03642284870147705,Global South (G77/Rest of World)
sovereignty,SLE,0.4005448,0.3300013,0.5994552075862885,0.6699987053871155,0.07054349780082703,Global South (G77/Rest of World)
sovereignty,EGY,0.51864266,0.5919274,0.4813573360443115,0.4080725908279419,-0.07328474521636963,Global South (G77/Rest of World)
sovereignty,NZL,0.344072,0.34858307,0.655927985906601,0.6514169275760651,-0.004511058330535889,Global North (Western/Allies)
sovereignty,UGA,0.5067201,0.3812176,0.4932798743247986,0.6187824010848999,0.12550252676010132,Global South (G77/Rest of World)
sovereignty,TZA,0.507357,0.3952781,0.49264299869537354,0.6047219038009644,0.11207890510559082,Global South (G77/Rest of World)
sovereignty,FJI,0.5037846,0.47615385,0.4962154030799866,0.5238461494445801,0.027630746364593506,Global South (G77/Rest of World)
sovereignty,NIC,0.5855218,0.522866,0.4144781827926636,0.47713398933410645,0.06265580654144287,Global South (G77/Rest of World)
sovereignty,ITA,0.49391714,0.51528144,0.5060828626155853,0.48471856117248535,-0.021364301443099976,Global North (Western/Allies)
sovereignty,TCD,0.5328311,0.5042151,0.467168927192688,0.4957848787307739,0.028615951538085938,Global South (G77/Rest of World)
sovereignty,PER,0.49811023,0.4518059,0.5018897652626038,0.5481941103935242,0.04630434513092041,Global South (G77/Rest of World)
sovereignty,COL,0.47892517,0.40878707,0.5210748314857483,0.5912129282951355,0.07013809680938721,Global South (G77/Rest of World)
sovereignty,CHL,0.5109542,0.4068154,0.48904579877853394,0.5931845903396606,0.10413879156112671,Global South (G77/Rest of World)
sovereignty,SLV,0.56532204,0.5013123,0.43467795848846436,0.4986876845359802,0.06400972604751587,Global South (G77/Rest of World)
sovereignty,FIN,0.39796385,0.62460923,0.6020361483097076,0.37539076805114746,-0.22664538025856018,Global North (Western/Allies)
sovereignty,SAU,0.5776245,0.5940802,0.42237550020217896,0.40591979026794434,-0.01645570993423462,Global South (G77/Rest of World)
sovereignty,SGP,0.5832645,0.4248358,0.4167354702949524,0.5751641988754272,0.15842872858047485,Global South (G77/Rest of World)
sovereignty,CUB,0.5496896,0.6130079,0.4503104090690613,0.38699209690093994,-0.06331831216812134,Global South (G77/Rest of World)
sovereignty,ISR,0.3700068,0.30936384,0.629993200302124,0.690636157989502,0.06064295768737793,Global South (G77/Rest of World)
sovereignty,KHM,0.59087646,0.5791732,0.4091235399246216,0.42082679271698,0.011703252792358398,Global South (G77/Rest of World)
sovereignty,KEN,0.45048404,0.57637936,0.549515962600708,0.42362064123153687,-0.12589532136917114,Global South (G77/Rest of World)
sovereignty,GIN,0.5064511,0.44162327,0.4935489296913147,0.5583767294883728,0.0648277997970581,Global South (G77/Rest of World)
sovereignty,IDN,0.54906845,0.64346874,0.4509315490722656,0.3565312623977661,-0.09440028667449951,Global South (G77/Rest of World)
sovereignty,BOL,0.6086794,0.44289234,0.3913205862045288,0.5571076571941376,0.16578707098960876,Global South (G77/Rest of World)
sovereignty,SYR,0.557571,0.6408324,0.4424290060997009,0.35916757583618164,-0.08326143026351929,Global South (G77/Rest of World)
sovereignty,RUS,0.53171396,0.48094505,0.46828603744506836,0.5190549492835999,0.050768911838531494,P5 (Major Powers)
sovereignty,MDG,0.5008639,0.48946726,0.4991360902786255,0.5105327367782593,0.011396646499633789,Global South (G77/Rest of World)
sovereignty,TUN,0.48655492,0.5043119,0.5134450793266296,0.4956880807876587,-0.017756998538970947,Global South (G77/Rest of World)
sovereignty,NOR,0.42926523,0.576326,0.5707347691059113,0.42367398738861084,-0.14706078171730042,Global North (Western/Allies)
sovereignty,ALB,0.48015934,0.5335953,0.519840657711029,0.46640467643737793,-0.05343598127365112,Global South (G77/Rest of World)
sovereignty,IND,0.51503766,0.612025,0.4849623441696167,0.38797497749328613,-0.09698736667633057,Global South (G77/Rest of World)
sovereignty,ARG,0.39067584,0.40629432,0.6093241572380066,0.5937056839466095,-0.015618473291397095,Global South (G77/Rest of World)
sovereignty,JOR,0.5074568,0.55705434,0.49254322052001953,0.442945659160614,-0.04959756135940552,Global South (G77/Rest of World)
sovereignty,SWE,0.37323654,0.49249434,0.6267634630203247,0.5075056552886963,-0.11925780773162842,Global North (Western/Allies)
sovereignty,CHN,0.50084895,0.63163775,0.4991510510444641,0.3683622479438782,-0.13078880310058594,P5 (Major Powers)
sovereignty,BFA,0.48869509,0.50785667,0.5113049149513245,0.49214333295822144,-0.019161581993103027,Global South (G77/Rest of World)
sovereignty,ECU,0.5476651,0.49762243,0.4523348808288574,0.5023775696754456,0.050042688846588135,Global South (G77/Rest of World)
sovereignty,BGR,0.56389457,0.39908016,0.4361054301261902,0.6009198427200317,0.16481441259384155,Global South (G77/Rest of World)
sovereignty,GBR,0.26062632,0.28058547,0.7393736839294434,0.7194145321846008,-0.01995915174484253,P5 (Major Powers)
sovereignty,PHL,0.5322066,0.56526685,0.46779340505599976,0.43473315238952637,-0.03306025266647339,Global South (G77/Rest of World)
sovereignty,LKA,0.56575984,0.34409374,0.4342401623725891,0.6559062600135803,0.2216660976409912,Global South (G77/Rest of World)
sovereignty,POL,0.3781706,0.49417454,0.6218293905258179,0.5058254599571228,-0.11600393056869507,Global North (Western/Allies)
sovereignty,DZA,0.49972332,0.61933684,0.5002766847610474,0.3806631565093994,-0.11961352825164795,Global South (G77/Rest of World)
sovereignty,CYP,0.55450374,0.5759287,0.44549626111984253,0.4240713119506836,-0.021424949169158936,Global South (G77/Rest of World)
sovereignty,COG,0.4843708,0.28377256,0.5156292021274567,0.7162274420261383,0.20059823989868164,Global South (G77/Rest of World)
sovereignty,AUT,0.46676162,0.35637474,0.5332383811473846,0.6436252593994141,0.11038687825202942,Global North (Western/Allies)
sovereignty,MEX,0.3893565,0.3498276,0.6106435060501099,0.6501724123954773,0.03952890634536743,Global South (G77/Rest of World)
sovereignty,MYS,0.47946882,0.3890937,0.520531177520752,0.6109063029289246,0.09037512540817261,Global South (G77/Rest of World)
sovereignty,CAF,0.48139864,0.3675275,0.5186013579368591,0.6324724853038788,0.11387112736701965,Global South (G77/Rest of World)
sovereignty,VEN,0.40240234,0.5264864,0.5975976586341858,0.4735136032104492,-0.12408405542373657,Global South (G77/Rest of World)
sovereignty,HUN,0.42677826,0.333621,0.573221743106842,0.6663790047168732,0.09315726161003113,Global South (G77/Rest of World)
sovereignty,YUG,0.6231029,0.36589983,0.37689709663391113,0.6341001689434052,0.257203072309494,Global South (G77/Rest of World)
sovereignty,ISL,0.46296534,0.2935034,0.537034660577774,0.7064965963363647,0.1694619357585907,Global South (G77/Rest of World)
sovereignty,GRC,0.54570353,0.6249714,0.4542964696884155,0.3750286102294922,-0.07926785945892334,Global North (Western/Allies)
sovereignty,COD,0.603171,0.525595,0.3968290090560913,0.4744049906730652,0.07757598161697388,Global South (G77/Rest of World)
sovereignty,LUX,0.31849557,0.42923093,0.6815044283866882,0.5707690715789795,-0.11073535680770874,Global South (G77/Rest of World)
sovereignty,ZMB,0.51646465,0.23100057,0.4835353493690491,0.7689994275569916,0.2854640781879425,Global South (G77/Rest of World)
sovereignty,URY,0.5447752,0.544957,0.45522481203079224,0.4550430178642273,-0.0001817941665649414,Global South (G77/Rest of World)
