Concept,Country,Cold_War_Cohesion,Post_Cold_War_Cohesion
human_right,USA,0.5207105278968811,0.49196165800094604
human_right,CHN,0.5416159629821777,0.5237141847610474
human_right,RUS,0.5317298173904419,0.4966394603252411
human_right,GBR,0.5518429279327393,0.47977322340011597
human_right,FRA,0.505382776260376,0.550268828868866
democracy,USA,0.6198261380195618,0.5204706788063049
democracy,CHN,0.45796921849250793,0.42145979404449463
democracy,RUS,0.4744850993156433,0.43821170926094055
democracy,GBR,0.4111914038658142,0.574543297290802
democracy,FRA,0.42088550329208374,0.4615623950958252
equality,USA,0.5190325379371643,0.5918716192245483
equality,CHN,0.521562933921814,0.5548107624053955
equality,RUS,0.45818305015563965,0.5633816719055176
equality,GBR,0.6565104126930237,0.6760163903236389
equality,FRA,0.6507659554481506,0.6221168041229248
discrimination,USA,0.44137752056121826,0.5989103317260742
discrimination,CHN,0.3416721820831299,0.10200807452201843
discrimination,RUS,0.3848001956939697,0.20741653442382812
discrimination,GBR,0.40441644191741943,0.49721235036849976
discrimination,FRA,0.36928117275238037,0.6910426616668701
minority,USA,0.4923420250415802,0.48942992091178894
minority,CHN,0.4708195626735687,
minority,RUS,0.4776713252067566,0.3623962998390198
minority,GBR,0.29098543524742126,0.5022423267364502
minority,FRA,0.41895925998687744,0.29402387142181396
pluralism,USA,0.4309041202068329,0.33571431040763855
pluralism,CHN,,
pluralism,RUS,0.5302618741989136,0.5195735096931458
pluralism,GBR,,0.4948836863040924
pluralism,FRA,0.1674187183380127,0.5868452787399292
terrorism,USA,0.4208660423755646,0.4898598790168762
terrorism,CHN,0.271870881319046,0.5562412738800049
terrorism,RUS,0.3951379656791687,0.5120225548744202
terrorism,GBR,0.41730237007141113,0.5018634796142578
terrorism,FRA,0.6311522722244263,0.46846863627433777
peacekeeping,USA,0.32848677039146423,0.5510373711585999
peacekeeping,CHN,,0.7018073797225952
peacekeeping,RUS,,0.5612539052963257
peacekeeping,GBR,0.15866611897945404,0.6298563480377197
peacekeeping,FRA,,0.49679940938949585
disarmament,USA,0.4816494286060333,0.4796249270439148
disarmament,CHN,0.7132795453071594,0.5977816581726074
disarmament,RUS,0.585786759853363,0.5896458625793457
disarmament,GBR,0.6309149265289307,
disarmament,FRA,0.5904140472412109,0.6144201755523682
armed_conflict,USA,0.04008356109261513,0.3154454529285431
armed_conflict,CHN,0.18885917961597443,0.4787110984325409
armed_conflict,RUS,0.3204372525215149,0.35588598251342773
armed_conflict,GBR,0.4166046679019928,
armed_conflict,FRA,0.3943184018135071,0.33717334270477295
sanction,USA,0.27326497435569763,0.5183781385421753
sanction,CHN,0.46098119020462036,0.511885404586792
sanction,RUS,0.18979385495185852,0.5232452750205994
sanction,GBR,0.4268648624420166,0.2987480163574219
sanction,FRA,0.27956774830818176,0.4661402702331543
ceasefire,USA,0.24782997369766235,0.470906525850296
ceasefire,CHN,0.561112642288208,0.5026209354400635
ceasefire,RUS,,0.5162124037742615
ceasefire,GBR,0.4704541265964508,0.2300349920988083
ceasefire,FRA,,0.43918317556381226
sustainable_development,USA,,0.47828519344329834
sustainable_development,CHN,,0.5949428677558899
sustainable_development,RUS,,0.47929316759109497
sustainable_development,GBR,0.5858641862869263,0.5405576229095459
sustainable_development,FRA,,0.5299822092056274
external_debt,USA,0.4245423674583435,
external_debt,CHN,0.6943907141685486,
external_debt,RUS,,
external_debt,GBR,,
external_debt,FRA,,
globalization,USA,,0.5355666279792786
globalization,CHN,,0.5055699944496155
globalization,RUS,,0.4405651092529297
globalization,GBR,,0.5871007442474365
globalization,FRA,0.2595002055168152,0.5132189989089966
tariff,USA,,0.31717196106910706
tariff,CHN,0.6011103391647339,0.5199372172355652
tariff,RUS,,
tariff,GBR,,0.6068662405014038
tariff,FRA,,0.31999704241752625
climate_change,USA,,0.5789759755134583
climate_change,CHN,0.13533498346805573,0.43446868658065796
climate_change,RUS,,0.4325254261493683
climate_change,GBR,,0.5196930170059204
climate_change,FRA,,0.4365790784358978
environmental_protection,USA,,0.4508100748062134
environmental_protection,CHN,0.5332902669906616,0.518813967704773
environmental_protection,RUS,0.4904366433620453,0.42744919657707214
environmental_protection,GBR,,
environmental_protection,FRA,0.40644586086273193,0.4249303936958313
biodiversity,USA,,
biodiversity,CHN,,
biodiversity,RUS,,0.45982617139816284
biodiversity,GBR,,0.44049036502838135
biodiversity,FRA,,0.4492875933647156
pollution,USA,0.5271937847137451,0.2080923616886139
pollution,CHN,,0.3887338638305664
pollution,RUS,,
pollution,GBR,0.36049723625183105,0.43365275859832764
pollution,FRA,0.6238766312599182,
deforestation,USA,,
deforestation,CHN,,
deforestation,RUS,,
deforestation,GBR,,0.2021530270576477
deforestation,FRA,,0.23667007684707642
renewable_energy,USA,0.46630755066871643,0.46316879987716675
renewable_energy,CHN,,0.4380952715873718
renewable_energy,RUS,,
renewable_energy,GBR,,0.5330085158348083
renewable_energy,FRA,0.30526259541511536,0.36199209094047546
desertification,USA,,0.3676392138004303
desertification,CHN,,
desertification,RUS,,
desertification,GBR,,
desertification,FRA,0.5180650949478149,0.3130500316619873
natural_disaster,USA,0.28339827060699463,0.21810698509216309
natural_disaster,CHN,,0.6006454229354858
natural_disaster,RUS,0.44071149826049805,0.30478885769844055
natural_disaster,GBR,0.47347337007522583,
natural_disaster,FRA,0.21015989780426025,0.2084868848323822
technology_transfer,USA,,0.23965692520141602
technology_transfer,CHN,,0.735883891582489
technology_transfer,RUS,,0.43536576628685
technology_transfer,GBR,,
technology_transfer,FRA,,0.3771425187587738
cultural_heritage,USA,,
cultural_heritage,CHN,,
cultural_heritage,RUS,,
cultural_heritage,GBR,,
cultural_heritage,FRA,,
education,USA,0.4688418209552765,0.578418493270874
education,CHN,0.0870557352900505,0.4662637412548065
education,RUS,0.5082579851150513,0.36358678340911865
education,GBR,0.33174803853034973,0.5729025602340698
education,FRA,0.45262736082077026,0.5207728147506714
innovation,USA,0.2832601070404053,0.6002378463745117
innovation,CHN,,0.560735821723938
innovation,RUS,0.3570624887943268,0.1849803328514099
innovation,GBR,,0.49739933013916016
innovation,FRA,0.29088008403778076,0.5063486099243164
science_technology,USA,0.5453888773918152,0.4033409059047699
science_technology,CHN,0.3846343159675598,0.491619348526001
science_technology,RUS,0.5218912363052368,0.3892502784729004
science_technology,GBR,,0.5436666011810303
science_technology,FRA,0.5543761253356934,
